23.200.24.250, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.66.57.138, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.49.58.88, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.204.93.33, 80, HTTP/1.0, 400, AkamaiGHost, text/html
107.190.160.222, 80, HTTP/1.1, 403, Apache/2.2.15 (CentOS), text/html; charset=UTF-8
208.79.237.141, 80, HTTP/1.1, 200, Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4, text/html
172.233.87.26, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.2.145.81, 80, HTTP/1.0, 400, AkamaiGHost, text/html
209.200.114.151, 80, HTTP/1.1, 400, , text/html
23.0.207.222, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.11.182.213, 80, HTTP/1.0, 400, AkamaiGHost, text/html
97.74.200.197, 80, HTTP/1.1, 404, Microsoft-HTTPAPI/2.0, text/html; charset=us-ascii
74.208.162.112, 80, HTTP/1.1, 404, Microsoft-HTTPAPI/2.0, text/html; charset=us-ascii
96.6.105.145, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.13.137.100, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.0.155.149, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.39.180.234, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.197.170.76, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.22.90.17, 80, HTTP/1.1, 500, Apache/2.2.22 (Ubuntu), text/html; charset=utf-8
70.90.212.213, 80, HTTP/1.0, 200, SonicWALL, 
23.43.224.42, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.209.109.60, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.249.219.64, 80, HTTP/1.1, 200, Apache/2.2.15 (CentOS), text/html; charset=UTF-8
64.147.225.227, 80, HTTP/1.1, 200, NET-DK/1.0, text/html
172.233.14.109, 80, HTTP/1.0, 400, AkamaiGHost, text/html
67.63.209.142, 80, HTTP/1.1, 401, cisco-IOS, 
107.160.27.50, 80, HTTP/1.1, 400, , text/html
107.149.140.70, 80, HTTP/1.1, 400, Microsoft-HTTPAPI/2.0, text/html; charset=us-ascii
23.40.203.40, 80, HTTP/1.0, 400, AkamaiGHost, text/html
24.73.152.235, 80, HTTP/1.1, 401, Gateway Controller 3500, text/html; charset=%s
96.16.23.218, 80, HTTP/1.0, 400, AkamaiGHost, text/html
187.153.136.238, 80, HTTP/1.0, 401, , 
23.10.157.206, 80, HTTP/1.0, 400, AkamaiGHost, text/html
70.63.117.198, 80, HTTP/1.1, 302, Boa/0.94.14rc21, text/html; charset=ISO-8859-1
69.12.83.212, 80, HTTP/1.0, 400, squid/3.1.10, text/html
23.77.168.186, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.45.33.229, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.3.192.12, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.65.240.22, 80, HTTP/1.0, 400, AkamaiGHost, text/html
184.87.75.81, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.72.219.142, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.72.203.139, 80, HTTP/1.0, 400, AkamaiGHost, text/html
69.55.21.175, 80, HTTP/1.1, 401, micro_httpd, text/html
207.241.32.113, 80, HTTP/1.1, 302, GoAhead-Webs, text/html
207.136.244.82, 80, HTTP/1.1, 401, micro_httpd, text/html
190.143.136.44, 80, HTTP/1.1, 302, Apache, text/html; charset=iso-8859-1
69.59.157.252, 80, HTTP/1.1, 200, Apache, text/html
137.135.113.16, 80, HTTP/1.1, 404, Microsoft-HTTPAPI/2.0, text/html; charset=us-ascii
208.71.18.176, 80, HTTP/1.1, 400, , text/html
199.115.114.98, 80, , , , 
23.56.183.42, 80, HTTP/1.0, 400, AkamaiGHost, text/html
24.39.154.170, 80, HTTP/1.0, 200, SonicWALL, 
64.187.113.52, 80, HTTP/1.1, 200, Apache/2.2.15 (CentOS), text/html; charset=UTF-8
99.37.143.49, 80, HTTP/1.1, 302, , text/html; charset=utf-8
23.193.143.70, 80, HTTP/1.0, 400, AkamaiGHost, text/html
184.85.71.124, 80, HTTP/1.0, 400, AkamaiGHost, text/html
72.164.252.41, 80, HTTP/1.0, 400, AkamaiGHost, text/html
50.63.182.124, 80, HTTP/1.1, 404, Microsoft-HTTPAPI/2.0, text/html; charset=us-ascii
